('act', 'scene', 'benedick')	0
('act', 'scene', 'camp')	0
('act', 'scene', 'castle')	0
('act', 'scene', 'castle')	0
('act', 'scene', 'claudius')	0
('act', 'scene', 'don')	0
('act', 'scene', 'earl')	0
('act', 'scene', 'earl')	0
('act', 'scene', 'edmund')	0
('act', 'scene', 'elsinore')	0
('act', 'scene', 'enter')	0
('act', 'scene', 'enter')	0
('act', 'scene', 'enter')	0
('act', 'scene', 'field')	0
('act', 'scene', 'henry')	0
('act', 'scene', 'hotspur')	0
('act', 'scene', 'house')	0
('act', 'scene', 'king')	0
('act', 'scene', 'leonato')	0
('act', 'scene', 'leonatos')	0
('act', 'scene', 'london')	0
('act', 'scene', 'lord')	0
('act', 'scene', 'lord')	0
('act', 'scene', 'near')	0
('act', 'scene', 'part')	0
('act', 'scene', 'prince')	0
('act', 'scene', 'romeo')	0
('act', 'scene', 'room')	0
('act', 'scene', 'room')	0
('act', 'scene', 'salisbury')	0
('act', 'scene', 'same')	0
('act', 'scene', 'sir')	0
('act', 'scene', 'troy')	0
('act', 'scene', 'worcester')	0
('act', 'street', 'enter')	0
('act', 'street', 'enter')	0
('act', 'timons', 'enter')	0
('act', 'troy', 'priams')	0
('act', 'two', 'first')	0
('act', 'v', 'another')	0
('act', 'v', 'enter')	0
('act', 'v', 'enter')	0
('act', 'v', 'field')	0
('act', 'v', 'henry')	0
('act', 'v', 'part')	0
('act', 'v', 'scene')	0
('act', 'v', 'scene')	0
('act', 'v', 'scene')	0
('act', 'vi', 'gloucester')	0
('act', 'vi', 'suffolk')	0
('again', 'code', 'database')	0
('again', 'code', 'george')	0
('again', 'o', 'code')	0
('again', 'o', 'database')	0
('again', 'o', 'george')	0
('again', 'o', 'program')	0
('again', 'program', 'code')	0
('again', 'program', 'database')	0
('again', 'program', 'george')	0
('agamemnon', 'ulysses', 'nestor')	0
('age', 'program', 'code')	0
('agrippa', 'first', 'senator')	0
('alencon', 'king', 'france')	0
('alice', 'madame', 'katharine')	0
('alone', 'code', 'database')	0
('alone', 'code', 'george')	0
('an', 'recaptcha', 'switch')	0
('an', 'recaptcha', 'type')	0
('and', 'i', 'to')	0
('and', 'in', 'the')	0
('and', 'in', 'the')	0
('and', 'of', 'the')	0
('and', 'of', 'the')	0
('and', 'of', 'the')	0
('and', 'the', 'of')	0
('and', 'the', 'of')	0
('and', 'the', 'of')	0
('and', 'to', 'the')	0
('and', 'to', 'the')	0
('and', 'to', 'the')	0
('and', 'to', 'the')	0
('anne', 'page', 'caius')	0
('anne', 'page', 'evans')	0
('anne', 'page', 'good')	0
('anne', 'page', 'hugh')	0
('anne', 'page', 'master')	0
('another', 'part', 'enter')	0
('antipholus', 'dromio', 'man')	0
('antipholus', 'sir', 'dromio')	0
('antipholus', 'syracuse', "there's")	0
('antipholus', 'syracuse', 'adriana')	0
('antipholus', 'syracuse', 'come')	0
('antipholus', 'syracuse', 'dromio')	0
('antipholus', 'syracuse', 'here')	0
('antipholus', 'syracuse', 'know')	0
('antipholus', 'syracuse', 'man')	0
('antipholus', 'syracuse', 'marry')	0
('antipholus', 'syracuse', 'mine')	0
('antipholus', 'syracuse', 'sir')	0
('antipholus', 'syracuse', 'tell')	0
('antipholus', 'syracuse', 'thee')	0
('antipholus', 'syracuse', 'thou')	0
('antipholus', 'syracuse', 'thy')	0
('antipholus', 'thou', 'art')	0
('antipholus', 'thou', 'dromio')	0
('antipholus', 'thou', 'sir')	0
('antony', 'thou', 'art')	0
('antony', 'thou', 'thy')	0
('archbishop', 'scroop', 'lord')	0
('art', 'thou', 'thee')	0
('aside', 'clarence', 'plantagenet')	0
('aside', 'iv', 'plantagenet')	0
('aside', 'king', 'plantagenet')	0
('at', 'the', 'of')	0
('at', 'the', 'of')	0
('at', 'the', 'of')	0
('away', 'code', 'database')	0
('away', 'code', 'george')	0
('away', 'exeunt', 'act')	0
('away', 'exeunt', 'act')	0
('away', 'exeunt', 'scene')	0
('away', 'henry', 'queen')	0
('away', 'henry', 'vi')	0
('away', 'o', 'code')	0
('away', 'o', 'database')	0
('away', 'o', 'filelocalhost')	0
('away', 'o', 'george')	0
('away', 'o', 'program')	0
('away', 'o', 'source')	0
('away', 'o', 'texts')	0
('away', 'program', 'code')	0
('away', 'program', 'database')	0
('away', 'program', 'filelocalhost')	0
('away', 'program', 'george')	0
('away', 'program', 'source')	0
('away', 'texts', 'filelocalhost')	0
('away', 'texts', 'source')	0
('back', 'code', 'database')	0
('back', 'code', 'george')	0
('back', 'o', 'code')	0
('back', 'o', 'database')	0
('back', 'o', 'george')	0
('back', 'o', 'program')	0
('back', 'program', 'code')	0
('back', 'program', 'database')	0
('back', 'program', 'george')	0
('bad', 'code', 'database')	0
('bad', 'code', 'george')	0
('bad', 'o', 'code')	0
('bad', 'o', 'program')	0
('bad', 'program', 'code')	0
('bad', 'program', 'database')	0
('bad', 'program', 'george')	0
('baptistas', 'house', 'enter')	0
('bear', 'program', 'code')	0
('beauty', 'code', 'database')	0
('beauty', 'code', 'george')	0
('beauty', 'domain', 'filelocalhost')	0
('beauty', 'domain', 'shakespeare')	0
('beauty', 'domain', 'sonnet')	0
('beauty', 'domain', 'sonnets')	0
('beauty', 'domain', 'source')	0
('beauty', 'mason', 'filelocalhost')	0
('beauty', 'mason', 'source')	0
('beauty', 'mason', 'texts')	0
('beauty', 'o', 'code')	0
('beauty', 'o', 'database')	0
('beauty', 'o', 'filelocalhost')	0
('beauty', 'o', 'george')	0
('beauty', 'o', 'program')	0
('beauty', 'o', 'source')	0
('beauty', 'o', 'texts')	0
('beauty', 'open', 'shakespeare')	0
('beauty', 'open', 'sonnet')	0
('beauty', 'open', 'sonnets')	0
('beauty', 'open', 'source')	0
('beauty', 'program', 'code')	0
('beauty', 'program', 'database')	0
('beauty', 'program', 'filelocalhost')	0
('beauty', 'program', 'george')	0
('beauty', 'program', 'source')	0
('beauty', 'public', 'filelocalhost')	0
('beauty', 'public', 'shakespeare')	0
('beauty', 'public', 'sonnet')	0
('beauty', 'public', 'source')	0
('beauty', 'references', 'filelocalhost')	0
('beauty', 'references', 'open')	0
('beauty', 'references', 'shakespeare')	0
('beauty', 'references', 'sonnet')	0
('beauty', 'references', 'sonnets')	0
('beauty', 'references', 'source')	0
('beauty', 'shakespeare', 'sonnet')	0
('beauty', 'sonnets', 'sonnet')	0
('beauty', 'texts', 'filelocalhost')	0
('beauty', 'texts', 'source')	0
('beauty', 'thou', 'art')	0
('beauty', 'thou', 'thy')	0
('beauty', 'university', 'domain')	0
('beauty', 'university', 'filelocalhost')	0
('beauty', 'university', 'public')	0
('beauty', 'university', 'shakespeare')	0
('beauty', 'university', 'sonnet')	0
('beauty', 'university', 'sonnets')	0
('beauty', 'university', 'source')	0
('beauty', 'university', 'texts')	0
('beauty', 'view', 'sonnet')	0
('beauty', 'view', 'sonnets')	0
('before', 'achilles', 'tent')	0
('before', 'lear', 'fool')	0
('being', 'code', 'database')	0
('being', 'code', 'george')	0
('being', 'mason', 'filelocalhost')	0
('being', 'mason', 'source')	0
('being', 'mason', 'texts')	0
('being', 'o', 'code')	0
('being', 'o', 'database')	0
('being', 'o', 'filelocalhost')	0
('being', 'o', 'george')	0
('being', 'o', 'program')	0
